smiles,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status
COc1cc(Cc2ccc(-c3cc(CCC(N)=O)ccn3)cc2)ccn1,-9.9373,-7.0057,2.9316,-0.527,xtb_success
CCCc1ccc([C@@H]2CCS(=O)(=O)C2)cc1-c1ccncc1,-10.0747,-6.9117,3.163,-0.645,xtb_success
COCc1ccc(C(=O)N2CCN(C(=O)c3nc(C(=O)OC)cs3)CC2)cc1,-10.6963,-8.3038,2.3925,-0.533,xtb_success
CC(C)S(=O)(=O)Cc1ccc(Cc2ccc(S(=O)(=O)C(C)C)cc2)cc1,-10.7036,-7.0044,3.6992,-0.649,xtb_success
CCCN(CCC)c1nc(OC)c(-c2cc(OC)cc(OC)c2O)s1,-9.2603,-6.6947,2.5656,-0.432,xtb_success
CCCc1cc(OC)c(-c2cc(OC)cc(OC)c2OC)c(OC)c1,-10.0962,-6.1752,3.9209,-0.348,xtb_success
COc1ccc(-c2ccc(F)c(F)c2)cc1C(=O)c1cncnc1,-10.4639,-8.344,2.1199,-0.43,xtb_success
COCCN(C)C(=O)c1cc(CCC2CCN(C(=O)OC)CC2)ccc1C,-10.4438,-6.2674,4.1764,-0.567,xtb_success
NC(=O)Cc1cc(CC(F)F)ccc1-c1cc(C(F)F)ccn1,-10.5358,-7.5839,2.9519,-0.543,xtb_success
COCc1ccc(Cc2cc(Cc3cc(OC)ccn3)ccn2)cc1,-10.0518,-6.781,3.2707,-0.349,xtb_success
NC(=O)CCc1ccc(-c2ccc(CCC(N)=O)cc2)cc1,-10.2153,-6.5366,3.6787,-0.532,xtb_success
Cc1cccc(CN(c2ccc(F)c(F)c2)C2CN([NH+](C)C)C2)c1,-5.7886,-5.5718,0.2168,-0.325,xtb_success
COCc1ccc(Cc2ccc(Cc3nc(OC)cs3)cc2)cc1,-10.2836,-7.1126,3.171,-0.352,xtb_success
COCCc1ccc(Cc2ccc(Cc3ccccn3)cc2)cc1,-9.9943,-6.6926,3.3016,-0.354,xtb_success
NC(=O)Cc1ccc(-c2cc(-c3cc(CC(N)=O)ccn3)ccn2)cc1,-10.0337,-7.519,2.5147,-0.533,xtb_success
COCc1ccc(Cc2ccc(Cc3ccccn3)cc2)cc1,-10.0006,-6.6977,3.303,-0.352,xtb_success
COCCc1ccc(CCc2ccc(CCOC)cc2)cc1,-10.3385,-6.0285,4.31,-0.354,xtb_success
NC(=O)Cc1ccnc(-c2ccc(CC(N)=O)cc2C(F)F)c1,-10.2943,-7.2806,3.0137,-0.526,xtb_success
COCc1cc(Cc2ccc(-c3ccccn3)c(OC)c2)ccn1,-10.0637,-7.1395,2.9242,-0.346,xtb_success
COCCCCCc1ccc(Cc2cc(COC)ccn2)cc1,-10.0384,-6.7222,3.3162,-0.352,xtb_success
Cc1ccc(-c2cc(CCS(C)(=O)=O)cc(CCS(C)(=O)=O)c2O)cc1,-10.2277,-6.5496,3.6782,-0.655,xtb_success
NC(=O)Cc1csc(CCc2ccc(Cc3ccccn3)cc2)n1,-10.0231,-7.0436,2.9795,-0.537,xtb_success
Cc1ccc(CN(CC(N)=O)C(=O)Cc2ccc(CC(N)=O)cc2)cc1,-10.4995,-6.1601,4.3394,-0.535,xtb_success
CCN(Cc1ccc(F)cc1)C(=O)N[C@H]1CCCN(CCc2cccc(F)c2F)C1,-9.3543,-6.7325,2.6218,-0.591,xtb_success
CC(C)S(=O)(=O)Cc1ccc(-c2ccc(-c3ccccn3)nc2)cc1,-9.9531,-7.594,2.3591,-0.645,xtb_success
COc1ccc(Cc2ccc(Cc3nc(OC)cs3)cc2)cc1,-10.1427,-7.1012,3.0414,-0.31,xtb_success
CCc1ccc(Cc2ccc(CC)c(CC)c2)c(CC(N)=O)c1,-10.3413,-6.0062,4.335,-0.536,xtb_success
