restart,step,smiles,pIC50,QED,SA,MW,LogP,LogP_Penalty,Reward,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status,gap_score,esp_score,R_DFT,R0,R_total,rank_R0,rank_total,delta_rank,dft_effect
96,40,C[C@](O)(Cc1ccc(-c2ccc(CC(N)=O)cc2)cc1)C(=O)[O-],7.604900000000003,0.8066277929372067,2.8387944922448405,312.345,0.4248000000000002,0.0,8.712683051649641,-9.7717,-6.8251,2.9466,-0.533,xtb_success,0.5903401132723295,0.7783333333333333,0.6467380792906305,8.712683051649641,8.971378283365894,74,105,31,neutral
13,14,NC(=O)Cc1ccc(CCc2ccc(-c3cc(CC(N)=O)ccn3)cc2)cc1,7.605100000000004,0.6346720120854259,2.119851006201124,373.456,2.5894000000000004,0.0,8.710450905422604,-10.0207,-7.0465,2.9742,-0.535,xtb_success,0.5987068468027825,0.775,0.6515947927619476,8.710450905422604,8.971088822527383,83,106,23,neutral
7,12,NC(=O)Cc1ccnc(-c2ccc(C(F)F)c(CC(F)(F)F)c2)c1,7.586100000000007,0.8386049860295285,2.693961088013687,344.283,3.818800000000002,0.0,8.736006384213404,-10.1549,-7.5233,2.6316,-0.527,xtb_success,0.49600720805195053,0.7883333333333333,0.5837050456363653,8.736006384213404,8.96948840246795,41,107,66,neutral
2,0,CCCC(=O)N1CCN(C(=O)c2ccc(Nc3nc4c(c(=O)[nH]3)CCC4)cc2)CC1,7.562600000000006,0.7879599535470686,2.4647742116290665,409.4900000000003,2.0867,0.0,8.710102555610632,-10.1516,-7.1268,3.0248,-0.563,xtb_success,0.6140512532317319,0.7283333333333335,0.6483358772622124,8.710102555610632,8.969436906515517,85,108,23,neutral
81,2,O=C(NCc1ccccc1)[C@H]1CCCN(C2CCCCC2)C1,7.5239000000000065,0.9246298413050994,2.2804756588753463,300.4460000000001,3.347500000000002,0.0,8.684546408137535,-9.4002,-6.1564,3.2438,-0.529,xtb_success,0.6800902255373903,0.785,0.7115631578761732,8.684546408137535,8.969171671288004,155,109,-46,physically_promoted
42,10,COCc1ccc(Cc2ccc(Cc3cc(CCCC(N)=O)ccn3)cc2)cc1,7.612400000000004,0.565527794995562,2.179343492949796,388.511,4.217600000000003,0.0,8.677229548202806,-9.9709,-6.6163,3.3547,-0.539,xtb_success,0.712926812394137,0.7683333333333333,0.7295487686758959,8.677229548202806,8.969049055673164,170,110,-60,physically_promoted
36,3,O=C(c1ccc(CCC2(O)CCCCC2)o1)N1CCn2cnnc2C1,7.518700000000003,0.9185982659992904,2.8768860096223747,344.415,2.1549000000000005,0.0,8.690310532037412,-10.3896,-7.2368,3.1528,-0.534,xtb_success,0.6527778021303039,0.7766666666666666,0.6899444614912127,8.690310532037412,8.966288316633896,136,111,-25,neutral
0,2,Cc1ccccc1-c1cnc(C(=O)NC[C@H]2CCCCO2)cn1,7.58620000000001,0.9427513635677176,2.6074878496337206,311.385,2.7509200000000007,0.0,8.782092875642965,-10.032,-8.069,1.963,-0.523,xtb_success,0.3157131834078801,0.795,0.45949922838551605,8.782092875642965,8.965892566997171,18,112,94,physically_filtered
65,10,COCc1cc(Cc2ccc(-c3ccccn3)c(OC)c2)ccn1,7.570400000000009,0.6909946888057834,2.1733870897043026,320.39200000000005,3.889400000000003,0.0,8.69855863543247,-10.0637,-7.1395,2.9242,-0.346,xtb_success,0.5835540475890658,0.8649999999999999,0.667987833312346,8.69855863543247,8.965753768757407,113,113,0,neutral
7,13,NC(=O)Cc1ccnc(-c2ccc(CC(N)=O)cc2C(F)F)c1,7.528200000000002,0.8480016276579213,2.534379333413396,319.3109999999999,1.7417999999999996,0.0,8.698667940794682,-10.2943,-7.2806,3.0137,-0.526,xtb_success,0.6106853296373215,0.79,0.664479730746125,8.698667940794682,8.964459833093132,112,114,2,neutral
55,9,COCc1cc(Cc2ccc(Cc3ccccn3)c(OC)c2)ccn1,7.572200000000005,0.6588733890081826,2.271737010676116,334.41900000000004,3.813200000000002,0.0,8.674462993436485,-9.965,-6.7774,3.1876,-0.345,xtb_success,0.6632526967562965,0.8624999999999999,0.7230268877294075,8.674462993436485,8.963673748528247,179,115,-64,physically_promoted
2,8,COc1cc(Cc2ccc(-c3cc(CCC(N)=O)ccn3)cc2)ccn1,7.5704000000000065,0.711971789212923,2.2140633356175066,347.41799999999995,3.1609000000000007,0.0,8.704979561044716,-9.9373,-7.0057,2.9316,-0.527,xtb_success,0.5857953280225761,0.7883333333333333,0.6465567296158032,8.704979561044716,8.963602252891038,95,116,21,neutral
81,46,NC(=O)Cc1cc(Cc2ccccn2)ccc1Cc1ccccn1,7.546800000000006,0.7597360671922387,2.2913484083856237,317.392,2.686000000000001,0.0,8.696173784790819,-9.9942,-6.9142,3.08,-0.546,xtb_success,0.6307788205474282,0.7566666666666666,0.6685451743831996,8.696173784790819,8.963591854544099,122,117,-5,neutral
50,24,COc1ccc(Cc2ccc(Cc3nc(OC)cs3)cc2)cc1,7.569900000000007,0.6753284574488733,2.11004493944915,325.433,4.341900000000003,0.0,8.696559734779528,-10.1427,-7.1012,3.0414,-0.31,xtb_success,0.6190840419478707,0.7749999999999999,0.6658588293635094,8.696559734779528,8.962903266524933,120,118,-2,neutral
